id,parent_id,suburb_4th,suburb_3rd,suburb_2nd,suburb_1st,city_id,city_name,majorlocal,majorloc_1,NZdep_mean,NZdep_quant_mean
3098,0,Lake Angelus,NA,NA,NA,0,NA,0,NA,969,5
3099,0,Lake Aniwhenua,NA,NA,NA,0,NA,0,NA,1001.3174076701631,6.377112846443079
3100,0,Lake Anna,NA,NA,NA,0,NA,0,NA,991,6
3126,0,Lake Browning / Whakarewa,NA,NA,NA,0,NA,0,NA,991,6
3127,0,Lake Brownlee,NA,NA,NA,0,NA,0,NA,NA,NA
7338,8630,Pararako Bay,Whangaroa Harbour,NA,NA,0,NA,0,NA,1031.3448751098508,8.00389689389662
3101,0,Lake Annie,NA,NA,NA,0,NA,0,NA,NA,NA
3102,0,Lake Aorere,NA,NA,NA,0,NA,0,NA,970,5
3103,0,Lake Arapuni,NA,NA,NA,0,NA,0,NA,984.0072438932749,5.569849985182716
3128,0,Lake Brunton,NA,NA,NA,0,NA,0,NA,954,4
3129,0,Lake Bux,NA,NA,NA,0,NA,0,NA,1007.9999999999999,7
3130,0,Lake C,NA,NA,NA,0,NA,0,NA,946,4
3104,0,Lake Aratiatia,NA,NA,NA,0,NA,0,NA,991.1819068879215,5.25757945366339
3105,0,Lake Areare,NA,NA,NA,0,NA,0,NA,920,3
3106,6523,Lake Aroarotamahine,NA,NA,NA,0,NA,0,NA,NA,NA
3108,6520,Lake Astelia,NA,NA,NA,0,NA,0,NA,NA,NA
3109,0,Lake Avernus,NA,NA,NA,0,NA,0,NA,979,6
3110,0,Lake Aviemore,NA,NA,NA,0,NA,0,NA,947.2052184540897,4.042818675759881
3111,0,Lake B,NA,NA,NA,0,NA,0,NA,945.9999999999999,4
3112,0,Lake Barfoot,NA,NA,NA,0,NA,0,NA,1062,8
3113,0,Lake Barra,NA,NA,NA,0,NA,0,NA,1008,7
3121,0,Lake Bloxham,NA,NA,NA,0,NA,0,NA,NA,NA
3122,0,Lake Boomerang,NA,NA,NA,0,NA,0,NA,NA,NA
3123,0,Lake Bright,NA,NA,NA,0,NA,0,NA,NA,NA
3261,0,Lake Jumbuck,NA,NA,NA,0,NA,0,NA,1008.0000000000001,7
3131,0,Lake Cadman,NA,NA,NA,0,NA,0,NA,NA,NA
3132,6525,Lake Calder,NA,NA,NA,0,NA,0,NA,937,3
3133,0,Lake Cameron,NA,NA,NA,0,NA,0,NA,937.0000000000001,3.0000000000000004
3134,0,Lake Camp,NA,NA,NA,0,NA,0,NA,931.9999999999999,3
3202,0,Lake Grasmere,NA,NA,NA,0,NA,0,NA,971,5
3135,0,Lake Carina,NA,NA,NA,0,NA,0,NA,NA,NA
3136,0,Lake Carrick,NA,NA,NA,0,NA,0,NA,NA,NA
3137,0,Lake Caslani,NA,NA,NA,0,NA,0,NA,998,6
3138,0,Lake Castalia,NA,NA,NA,0,NA,0,NA,918,2
